obs_alt,obs_vel,obs_fuel,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,act_throttle,act_stage
158.59219786222093,39.33851672948994,2366.3623046875,89.85736083984375,281.73236083984375,-78.66329956054688,159821.36557033577,-1018.0625815266435,-578561.4024979373,1.0,0.0
163.36084211873822,40.00785245711396,2363.917236328125,89.8546142578125,281.88262939453125,-78.5115966796875,159822.59402174124,-1018.0644991347258,-578566.0103477384,1.0,0.0
168.20991619175766,40.678466308811544,2361.47216796875,89.8546142578125,281.955322265625,-78.4385986328125,159823.84307523875,-1018.0664747120504,-578570.6959499767,1.0,0.0
172.31228642491624,41.23829089158986,2359.4345703125,89.85736083984375,282.0111083984375,-78.38388061523438,159824.89970159248,-1018.0681544826989,-578574.660087655,1.0,0.0
177.30917234835215,41.911252281211624,2356.9892578125,89.85330200195312,282.09185791015625,-78.30117797851562,159826.18660088556,-1018.0702074492042,-578579.4885858471,1.0,0.0
182.3868835256435,42.58549918482141,2354.544189453125,89.8546142578125,282.13909912109375,-78.25546264648438,159827.49419882856,-1018.0723079429631,-578584.3952382234,1.0,0.0
186.6802018706221,43.14834931135696,2352.506591796875,89.8546142578125,282.12786865234375,-78.26663208007812,159828.59969996862,-1018.0740986266796,-578588.5439274778,1.0,0.0
191.9064879717771,43.8249464421056,2350.0615234375,89.85330200195312,282.1952819824219,-78.19943237304688,159829.94532972094,-1018.0762900435989,-578593.5942495263,1.0,0.0
197.21410521073267,44.50282727256264,2347.6162109375,89.85195922851562,282.19049072265625,-78.20236206054688,159831.3117459001,-1018.0785259479348,-578598.7231624059,1.0,0.0
202.60315931390505,45.18199231983311,2345.1708984375,89.85195922851562,282.2374267578125,-78.15664672851562,159832.6989921846,-1018.0808126577799,-578603.9308123576,1.0,0.0
207.15636719821487,45.74894437284977,2343.13330078125,89.85195922851562,282.19891357421875,-78.19482421875,159833.87096946797,-1018.0827646316652,-578608.330764813,1.0,0.0
212.69515529437922,46.43046788381495,2340.688232421875,89.84933471679688,282.2430419921875,-78.1502685546875,159835.29651094892,-1018.085160209394,-578613.6831538583,1.0,0.0
218.31577597081196,47.11327697678037,2338.2431640625,89.85195922851562,282.3097839355469,-78.08294677734375,159836.74298499245,-1018.0876128883724,-578619.1146798191,1.0,0.0
224.0184273023624,47.797374508119866,2335.7978515625,89.85195922851562,282.47296142578125,-77.91970825195312,159838.21044056388,-1018.0901290760999,-578624.625519297,1.0,0.0
228.8334429146489,48.36843854673364,2333.76025390625,89.85195922851562,282.5140075683594,-77.87802124023438,159839.44938120438,-1018.0922631123726,-578629.278581926,1.0,0.0
234.68684895464685,49.05489965534326,2331.315185546875,89.85195922851562,282.5570983886719,-77.83505249023438,159840.95539324917,-1018.0948693850701,-578634.9351985333,1.0,0.0
240.6227748632664,49.74264806134566,2328.8701171875,89.84933471679688,282.42431640625,-77.967529296875,159842.482480952,-1018.0975205922191,-578640.671563255,1.0,0.0
245.63252313772682,50.3167556038845,2326.83251953125,89.85195922851562,282.4333190917969,-77.95916748046875,159843.77117717612,-1018.099773640341,-578645.5128855829,1.0,0.0
251.7200457691215,51.00686919648144,2324.38720703125,89.84933471679688,282.5400695800781,-77.85198974609375,159845.3369889078,-1018.1025432744686,-578651.3958231414,1.0,0.0
257.89045409602113,51.69827216647677,2321.94189453125,89.85064697265625,282.6826171875,-77.70977783203125,159846.92397209528,-1018.1053784439032,-578657.3589268397,1.0,0.0
264.1439306100365,52.39096856308395,2319.496826171875,89.84933471679688,282.736572265625,-77.65493774414062,159848.53216240744,-1018.1082650744979,-578663.4023134361,1.0,0.0
269.41872322768904,52.96920051049744,2317.459228515625,89.84677124023438,282.8044738769531,-77.58648681640625,159849.88855785286,-1018.1107077845995,-578668.4999396551,1.0,0.0
275.8248932334827,53.66426474324435,2315.01416015625,89.84805297851562,282.79345703125,-77.59841918945312,159851.5357379975,-1018.1136886650388,-578674.6909837637,1.0,0.0
