obs_alt,obs_vel,obs_fuel,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_stage
155709.11623147049,142.0720364885346,4085.8720703125,0.835235595703125,89.57109832763672,85.92739868164062,405993.795788022,-1072.8357458893438,-637388.5433238093,158682.53558397538,-380942.35911408794,41.8904139262504,1.0,0.0
155723.31071929133,141.80241523518959,4074.218017578125,0.862640380859375,89.57232666015625,85.92796325683594,406105.34817598347,-1071.6464966157582,-637334.3079743764,158700.70847982413,-379174.3183495841,42.02600720418138,1.0,0.0
155740.309208335,141.48882385249266,4060.2333984375,0.885711669921875,89.5744400024414,85.92904663085938,406239.7179203265,-1070.2152222014124,-637268.829604667,158723.07558212732,-377033.51339983835,42.194843199152956,1.0,0.0
155754.4462069437,141.23275144959342,4048.57958984375,0.8941650390625,89.57685089111328,85.93025207519531,406352.0331241933,-1069.0190028982186,-637213.987084221,158742.0599328936,-375233.33609785326,42.33982916549701,1.0,0.0
155768.5577129589,140.97876718543455,4036.925537109375,0.89208984375,89.58000183105469,85.93167114257812,406464.7571254881,-1067.8196211646468,-637158.8293382593,158761.24933597993,-373418.25912262656,42.4879825338279,1.0,0.0
155785.45797258604,140.67367636402219,4022.94091796875,0.87738037109375,89.5846176147461,85.93350219726562,406600.47322491964,-1066.3762293962873,-637092.2825602586,158784.42195269186,-371220.24287403526,42.669105996365374,1.0,0.0
155802.32141412597,140.3657285401958,4008.9560546875,0.85272216796875,89.5898208618164,85.93533325195312,406736.7062156559,-1064.9283975764715,-637025.326654545,158807.6496803232,-369000.1973025638,42.853192079013866,1.0,0.0
155816.34583767492,140.1058074377225,3997.30224609375,0.827972412109375,89.59442138671875,85.936767578125,406850.6280355001,-1063.7185423217181,-636969.2171568397,158827.0026256024,-367133.1139296313,43.00857744125881,1.0,0.0
155833.14058203215,139.79043798107864,3983.317626953125,0.79718017578125,89.59998321533203,85.93829345703125,406987.83825726644,-1062.2628002711588,-636901.4896438213,158850.24550984404,-364871.9118068911,43.19763700394503,1.0,0.0
155847.1071091647,139.52525939088957,3971.66357421875,0.773040771484375,89.60440826416016,85.93937683105469,407102.47265545605,-1061.0464742088004,-636844.8007666281,158869.65514511685,-362970.13068659673,43.357568815250374,1.0,0.0
155863.83179028728,139.20555755287336,3957.67919921875,0.747833251953125,89.6094741821289,85.94041442871094,407240.60552872,-1059.583094488287,-636776.3333392371,158893.05775302928,-360666.8090480686,43.55285106244844,1.0,0.0
155880.51804446685,138.88569833278854,3943.6943359375,0.727691650390625,89.61417388916016,85.94120788574219,407379.28626632266,-1058.1156389981554,-636707.4328697661,158916.65029587492,-358340.10254972626,43.75236484338541,1.0,0.0
155897.1659560484,138.567064306002,3929.709716796875,0.712646484375,89.6185302734375,85.94178771972656,407518.4592497648,-1056.6441550347183,-636638.1345585682,158940.49975589593,-355989.7121367038,43.9566680334234,1.0,0.0
155913.77574891248,138.25065076572997,3915.72509765625,0.7020263671875,89.6225357055664,85.94218444824219,407658.1818071136,-1055.1686862914903,-636568.4015027294,158964.65752345067,-353615.33058200753,44.16621106953528,1.0,0.0
155927.58834771172,137.98908674337264,3904.0712890625,0.695770263671875,89.6256103515625,85.94244384765625,407774.9635770717,-1053.936109350766,-636510.0055172612,158985.04910400184,-351618.12482849025,44.34507071949815,1.0,0.0
155944.12910375965,137.6780491925452,3890.08642578125,0.690673828125,89.6291275024414,85.94268798828125,407915.6444385534,-1052.4534188876507,-636439.5067015584,159009.85254908085,-349198.9295200713,44.5650210740464,1.0,0.0
155960.63273284782,137.3702274259669,3876.101806640625,0.687255859375,89.63248443603516,85.94288635253906,408056.82119954086,-1050.96682773884,-636368.6073205536,159035.03431937576,-346754.826326021,44.790963123717574,1.0,0.0
155977.09962302167,137.06562141559243,3862.1171875,0.684722900390625,89.6357192993164,85.94308471679688,408198.5005188327,-1049.4763627055015,-636297.3030965767,159060.6046139612,-344285.4749751622,45.02306398626024,1.0,0.0
155993.5301516417,136.76412964948298,3848.13232421875,0.682525634765625,89.6389389038086,85.94325256347656,408340.75665568805,-1047.982052661253,-636225.5463423475,159086.5694206108,-341790.53001327044,45.2614634416542,1.0,0.0
156009.92468652164,136.46563036896504,3834.147705078125,0.68023681640625,89.64209747314453,85.9434814453125,408483.51166972495,-1046.4839264312093,-636153.3869986724,159112.93412116263,-339269.6403175626,45.50630031006517,1.0,0.0
156023.55955208093,136.21901384092064,3822.493896484375,0.67803955078125,89.64476013183594,85.94361877441406,408602.8765734534,-1045.23259303131,-636092.9329449617,159135.21130421467,-337148.8199592893,45.71533107068342,1.0,0.0
156039.88897559035,135.92551393767553,3808.50927734375,0.675079345703125,89.64791107177734,85.94384765625,408746.6004090662,-1043.7275455331198,-636020.0004788098,159162.31632693077,-334579.42444199044,45.97229324899263,1.0,0.0
156056.1833305367,135.63457849119038,3794.5244140625,0.67169189453125,89.65107727050781,85.94406127929688,408890.8822350593,-1042.218766365258,-635946.6271295238,159189.83430323598,-331983.0495750411,46.236091008951576,1.0,0.0
156072.4429227158,135.34616390173892,3780.539794921875,0.667999267578125,89.65423583984375,85.94429016113281,409035.66665687074,-1040.7062860024032,-635872.8483589456,159217.7754730872,-329359.3176845282,46.50691443184792,1.0,0.0
156085.96623957017,135.1076671166919,3768.8857421875,0.664764404296875,89.65693664550781,85.94448852539062,409156.7537079143,-1039.4430844125188,-635811.0244386299,159241.38862493017,-327151.6996153062,46.738094305063896,1.0,0.0
156102.1628601452,134.82370170317893,3754.901123046875,0.660797119140625,89.66007995605469,85.94471740722656,409302.434828402,-1037.9239074960656,-635736.5179374979,159270.13097208051,-324476.8110439188,47.02229785040015,1.0,0.0
156118.3255477487,134.5421921726247,3740.91650390625,0.65679931640625,89.6632308959961,85.94493103027344,409448.7339312883,-1036.4011238957244,-635661.5313072724,159299.3308623063,-321773.4582833351,47.31413139017161,1.0,0.0
156134.45459832798,134.26316113767348,3726.931884765625,0.65283203125,89.66641998291016,85.94517517089844,409595.5844102929,-1034.8747666236277,-635586.1072242841,159329.0036494165,-319041.23944582744,47.613842236292385,1.0,0.0
156150.55031294422,133.98665630880384,3712.947265625,0.649169921875,89.6695556640625,85.94540405273438,409742.90268517076,-1033.344869381813,-635510.2993941803,159359.16658530338,-316279.7420297771,47.92169792263019,1.0,0.0
156163.93816440646,133.7582093449672,3701.293212890625,0.646240234375,89.67214965820312,85.94557189941406,409866.18746768066,-1032.067276261986,-635446.7283637158,159384.69019415264,-313955.82601078646,48.18467055146789,1.0,0.0
156182.64297171973,133.44149960649122,3684.977783203125,0.642486572265625,89.6756362915039,85.94584655761719,410039.2677206603,-1030.2745927898577,-635357.3222943636,159421.03961215424,-310667.22946085245,48.563002422411955,1.0,0.0
156198.6405546146,133.17295307370716,3670.9931640625,0.63958740234375,89.67861938476562,85.94607543945312,410188.27135669865,-1028.7342801635139,-635280.1804903351,159452.7885529144,-307815.3529153356,48.89705092558677,1.0,0.0
156214.60607462924,132.90716321180912,3657.00830078125,0.636962890625,89.68144989013672,85.9462890625,410337.7862107117,-1027.1905569372184,-635202.6263546604,159485.10635004472,-304932.4761106267,49.240451844212316,1.0,0.0
156227.8864246034,132.68783043244525,3645.3544921875,0.634979248046875,89.68379974365234,85.94647216796875,410462.82181846123,-1025.901534295777,-635137.6509364654,159512.4887166199,-302506.07222506014,49.53401021210311,1.0,0.0
156243.79403969925,132.42725144552173,3631.369873046875,0.632904052734375,89.68669128417969,85.94668579101562,410613.3280886079,-1024.3516275952636,-635059.3055166577,159545.90732726548,-299565.1821798413,49.895445551377634,1.0,0.0
156259.6705588936,132.16959217752265,3617.38525390625,0.631011962890625,89.68943786621094,85.9468994140625,410764.33147627534,-1022.7983890101854,-634980.5565402386,159579.95937256527,-296591.99065921915,50.26722785143227,1.0,0.0
156272.8774927574,131.95712160635094,3605.731201171875,0.629608154296875,89.69175720214844,85.94708251953125,410890.69235057046,-1021.5014988604038,-634914.5302365769,159608.83650521399,-294089.3109734236,50.58521620505792,1.0,0.0
156288.6979208925,131.70489056595397,3591.74658203125,0.628143310546875,89.6945571899414,85.94731140136719,411042.66429539456,-1019.9422241275747,-634835.0041149922,159644.11137831828,-291055.65307200426,50.97694713731721,1.0,0.0
156304.48826069024,131.45565154550832,3577.761962890625,0.626800537109375,89.69731140136719,85.94755554199219,411195.2826404206,-1018.3797012666114,-634754.9774521771,159680.0883335144,-287988.3197235811,51.38012194092062,1.0,0.0
156320.24887266196,131.20943238149948,3563.77734375,0.6256103515625,89.69998168945312,85.94779968261719,411348.4470897869,-1016.8139603680141,-634674.5150240364,159716.7940010135,-284886.8080149637,51.79516530631486,1.0,0.0
156333.36027138343,131.0066083300336,3552.123291015625,0.624786376953125,89.70217895507812,85.94801330566406,411476.39889912924,-1015.5067365275837,-634607.1964250607,159747.96048680262,-282275.73729905963,52.15043460958543,1.0,0.0
156349.06733918062,130.76606623499197,3538.138671875,0.623931884765625,89.7048568725586,85.94825744628906,411630.5672323019,-1013.935162800968,-634525.9330558109,159786.0793459838,-279110.2267791512,52.588438694321326,1.0,0.0
156364.74572817178,130.52862434472172,3524.154052734375,0.623077392578125,89.70752716064453,85.94850158691406,411785.28460383567,-1012.3604422414247,-634444.2316630472,159825.0099645129,-275909.05832608923,53.03963494967172,1.0,0.0
156377.78941494506,130.33315637779333,3512.5,0.62249755859375,89.70972442626953,85.94874572753906,411914.6115101146,-1011.0457936958074,-634375.8278269386,159858.09602001833,-273213.7901965456,53.4260832895593,1.0,0.0
156393.41620336846,130.10150779609626,3498.515380859375,0.6219482421875,89.71237182617188,85.94898986816406,412070.33816226845,-1009.4653844424555,-634293.321312998,159898.60159326007,-269945.83707961143,53.90283229663555,1.0,0.0
156409.01538524497,129.87303914758525,3484.53076171875,0.6214599609375,89.71497344970703,85.94924926757812,412226.61681689566,-1007.8819164510601,-634210.3744955731,159940.01452976803,-266640.66654015647,54.39429825139234,1.0,0.0
156424.5873443999,129.6477928368099,3470.5458984375,0.621002197265625,89.71746826171875,85.94950866699219,412383.34729584475,-1006.2954151023605,-634127.0523970397,159982.3728140461,-263297.7078473285,54.90108068372251,1.0,0.0
156434.95371979207,129.49944007708348,3461.222900390625,0.6207275390625,89.71916198730469,85.94969177246094,412488.2113953296,-1005.2360746055286,-634071.2137996651,160011.15657547687,-261047.78717469168,55.24775580627397,1.0,0.0
156447.8950949876,129.3160358744051,3449.569091796875,0.6204833984375,89.72122192382812,85.94992065429688,412619.58356675477,-1003.9100291643191,-634001.1746168055,160047.76973942877,-258211.136617915,55.691355603599504,1.0,0.0
156463.4007045891,129.0989214434377,3435.58447265625,0.62017822265625,89.72378540039062,85.9501953125,412777.8025752448,-1002.3160523362674,-633916.6803841301,160092.66521914222,-254771.13023759687,56.23922316176811,1.0,0.0
156478.8804598673,128.88511332077644,3421.599609375,0.61993408203125,89.72633361816406,85.95048522949219,412936.5783615125,-1000.7191319061003,-633831.7421793585,160138.6522751354,-251291.24469474325,56.80474648749532,1.0,0.0
156494.33475700277,128.67459780568515,3407.614990234375,0.6197509765625,89.72885131835938,85.95075988769531,413095.91199824953,-999.119295222043,-633746.3591772415,160185.77591509046,-247770.85741873248,57.388663160676856,1.0,0.0
156509.76399338793,128.4674178013429,3393.63037109375,0.61962890625,89.73136138916016,85.95103454589844,413255.7033810035,-997.516570688862,-633660.5965350027,160234.08709310053,-244209.33177866612,57.99177946605755,1.0,0.0
156525.1685705632,128.26359553585758,3379.6455078125,0.619537353515625,89.73387145996094,85.95132446289062,413416.1559579788,-995.9109891302901,-633574.3214769275,160283.63846846693,-240606.0223723565,58.614938438221884,1.0,0.0
156537.987173188,128.0963248902592,3367.99169921875,0.6195068359375,89.73590087890625,85.95155334472656,413550.29866806965,-994.5708417807156,-633502.0815565246,160325.9188497588,-237570.86983683228,59.15019116454653,1.0,0.0
156553.34759441763,127.8987182604211,3354.007080078125,0.619537353515625,89.73834228515625,85.95184326171875,413711.75270317425,-992.9600900637614,-633415.0041338196,160377.89149680582,-233889.2287346683,59.81245584850933,1.0,0.0
156568.68450889876,127.70451941253793,3340.0224609375,0.61956787109375,89.74075317382812,85.95211791992188,413873.7978637797,-991.346557517597,-633327.4595762761,160431.27065104747,-230163.89966521756,60.49743080760777,1.0,0.0
156581.44761109306,127.54533467102783,3328.368408203125,0.61962890625,89.74273681640625,85.95236206054688,414009.1914877656,-989.999838721629,-633254.2113032197,160476.87693739298,-227025.5841538218,61.08636496835436,1.0,0.0
156596.74250416912,127.35749276258844,3314.3837890625,0.61981201171875,89.74519348144531,85.95263671875,414172.2438085767,-988.3812695859059,-633165.8600469192,160533.01238478476,-223218.34003283014,61.81579153565633,1.0,0.0
156612.0150659806,127.17313265661335,3300.399169921875,0.619964599609375,89.74761199951172,85.95294189453125,414335.8903561885,-986.7599896647883,-633077.039237463,160590.75321070745,-219365.39889262657,62.5711024533374,1.0,0.0
156627.26571737824,126.99228831281653,3286.41455078125,0.62017822265625,89.74996948242188,85.95323181152344,414500.03112194384,-985.1360285042975,-632987.8142064575,160650.17890584713,-215466.02418992075,63.353561804353944,1.0,0.0
