obs_alt,obs_vel,obs_fuel,obs_mass,obs_pitch,obs_heading,obs_roll,obs_pos_x,obs_pos_y,obs_pos_z,obs_ap,obs_pe,obs_time_to_ap,act_throttle,act_pitch,act_stage
45852.126291243476,562.3118070709545,798.1847534179688,14806.7197265625,15.705780029296875,90.40766143798828,87.39418029785156,191828.52485592486,-1092.1484292057194,-616705.4347890329,67853.37798668991,-557256.090107731,79.07341084923343,0.7,0.16666666666666666,0.0
45919.563421759754,561.7423742287647,797.6668090820312,14800.96484375,15.711151123046875,90.40425109863281,87.39341735839844,191921.5574870778,-1092.7869311374907,-616747.1151123574,67888.21075019636,-557126.4732632753,79.03477960289882,0.7,0.16666666666666666,0.0
45986.93228480546,561.1738596387845,797.1488037109375,14795.208984375,15.7132568359375,90.4011459350586,87.39274597167969,192014.69734729832,-1093.4264141392916,-616788.6810764588,67923.06661777315,-556996.5707579277,78.99627799062142,0.7,0.16666666666666666,0.0
46043.02092565328,560.7006681137401,796.7172241210938,14790.4140625,15.712615966796875,90.3987808227539,87.39222717285156,192092.39585049025,-1093.9600612340441,-616823.2320483305,67952.12056548218,-556888.0958772517,78.96427354430801,0.7,0.16666666666666666,0.0
46110.26486780937,560.1333799198179,796.1992797851562,14784.6591796875,15.709259033203125,90.39617156982422,87.39163208007812,192185.73244730948,-1094.6013257097536,-616864.5884302171,67986.98296022264,-556757.6535333628,78.9259439150232,0.7,0.16666666666666666,0.0
46177.440768626984,559.5665916973347,795.6812744140625,14778.9033203125,15.703582763671875,90.39376068115234,87.39106750488281,192279.17643636203,-1095.2435551140882,-616905.8305031678,68021.83568465605,-556626.9104630527,78.88768383122448,0.7,0.16666666666666666,0.0
46244.54868363787,559.0002412540017,795.163330078125,14773.1484375,15.696197509765625,90.39151000976562,87.39047241210938,192372.7278739961,-1095.8867440925803,-616946.9582596886,68056.67388287559,-556495.863989731,78.84948441665932,0.7,0.16666666666666666,0.0
46300.42004906933,558.5286214717396,794.7317504882812,14768.3525390625,15.689178466796875,90.38971710205078,87.39002990722656,192450.7695251586,-1096.4234649803163,-616981.1440557683,68085.69498191203,-556386.4264894159,78.81769865621459,0.7,0.16666666666666666,0.0
46367.40345592669,557.9630459507183,794.2137451171875,14762.59765625,15.680206298828125,90.38764190673828,87.38945007324219,192544.51809897172,-1097.0684019870644,-617022.0621998165,68120.50442209025,-556254.8211655277,78.77960676437965,0.7,0.16666666666666666,0.0
46434.31902357051,557.3979313264425,793.69580078125,14756.8427734375,15.671051025390625,90.38566589355469,87.38888549804688,192638.37428241764,-1097.714285568293,-617062.8659939303,68155.30119369458,-556122.911248873,78.7415792429012,0.7,0.16666666666666666,0.0
